term,category,source_cq,notes
bfo:ObjectAggregate,class,(superclass),"Co-parent of ei:Organization (BFO 2020 category for institutional wholes)."
iao:Document,class,(superclass),"Superclass of Post and all MediaAttachment subclasses."
iao:InformationContentEntity,class,(superclass),"Superclass of CMC, Observation, Variable, Series, PodcastEpisode, PodcastSegment, Conversation."
prov:Entity,class,(reuse),"Applied to CMC (prov lineage of produced artefacts)."
prov:Activity,class,(reuse),"Future ABox: extraction / resolution events; referenced via prov:wasGeneratedBy annotation on CMC in V0."
skos:Concept,class,(reuse),"Range for ei:aboutTechnology. Wide enough to accommodate OEO classes once imported (via OWL 2 punning)."
qudt:Unit,class,(reuse),"Future: ei:assertedUnit canonical normalisation target."
dcat:Dataset,class,"CQ-010","Conceptual collection; has 1..n Distributions. Full DCAT fidelity."
dcat:Distribution,class,"CQ-005,CQ-010","Specific access point (CSV, API, PDF, landing page)."
dcat:Catalog,class,(scope § modules),"Curated collection of Dataset metadata."
dcat:CatalogRecord,class,(scope § modules),"Per-catalog entry about a Dataset (distinct from Dataset itself, per Linear D5)."
dcat:DataService,class,(scope § modules),"API described as a service; linked from Distribution.accessService."
dcat:DatasetSeries,class,(scope § modules),"Recurring Dataset releases (Form 860 2023, 2024, 2025). Note: distinct from ei:Series."

# ===== Object properties (local) =====
ei:evidences,property,"CQ-001,CQ-009,CQ-012","Domain: (Post ∪ MediaAttachment ∪ PodcastSegment). Range: CanonicalMeasurementClaim. CMC invariant: ≥1 evidencing artefact (CQ-009)."
ei:authoredBy,property,"CQ-002,CQ-007,CQ-008","Domain: Post. Range: Expert. Cardinality: exactly 1."
ei:presents,property,(scope § modules),"Domain: Post. Range: MediaAttachment (widened from Chart). Cardinality: 0..n."
ei:inConversation,property,(scope § modules),"Domain: Post. Range: SocialThread. Cardinality: 0..1 (not every post is threaded)."
ei:repliesTo,property,(scope § modules),"Domain: Post. Range: Post. Cardinality: 0..1. Defines the reply partial-order within a SocialThread."
ei:spokenBy,property,"CQ-011","Domain: PodcastSegment. Range: Expert. Cardinality: 0..n."
ei:partOf,property,"(scope § modules)","Domain: PodcastSegment. Range: PodcastEpisode. Cardinality: exactly 1."
ei:hasSegmentIndex,property,(scope § modules),"Domain: PodcastSegment. Range: xsd:integer. Cardinality: 0..1 (ordering hint within an Episode)."
ei:screenshotOf,property,(scope § modules),"Domain: Screenshot. Range: xsd:anyURI. Cardinality: 0..1. URL of external content captured."
ei:excerptFrom,property,(scope § modules),"Domain: Excerpt. Range: xsd:anyURI. Cardinality: 0..1."
ei:references,property,"CQ-010","Abstract super-property over the five ei:references* properties below. Domain: CanonicalMeasurementClaim. Range: owl:Thing. Not asserted on individuals directly; used for generic CMC-has-any-reference queries."
ei:referencesAgent,property,"CQ-010","Domain: CMC. Range: ei:Organization. Cardinality: 0..1. rdfs:subPropertyOf ei:references."
ei:referencesDistribution,property,"CQ-005,CQ-010","Domain: CMC. Range: dcat:Distribution. Cardinality: 0..1. rdfs:subPropertyOf ei:references."
ei:referencesDataset,property,"CQ-010","Domain: CMC. Range: dcat:Dataset. Cardinality: 0..1. rdfs:subPropertyOf ei:references."
ei:referencesVariable,property,"CQ-003,CQ-006,CQ-007,CQ-008,CQ-010","Domain: CMC. Range: ei:Variable. Cardinality: 0..1. rdfs:subPropertyOf ei:references."
ei:referencesSeries,property,"CQ-004,CQ-010","Domain: CMC. Range: ei:Series. Cardinality: 0..1. rdfs:subPropertyOf ei:references."
ei:aboutTechnology,property,"CQ-013,CQ-014","Domain: CMC. Range: skos:Concept. Cardinality: 0..n. Claim-level technology / topic classification. Range widens to the imported OEO subtree in a later phase (see scope.md § Open questions #1). Moved from Variable-facet-level (Linear D2) to claim-level per 2026-04-22 interview."
ei:implementsVariable,property,"(scope § modules)","Domain: Series. Range: Variable. Cardinality: exactly 1. Matches SKY-316 in sevocab."
ei:publishedInDataset,property,"(scope § modules)","Domain: Series. Range: dcat:Dataset. Cardinality: 0..1 in V0. Inverse of ei:hasSeries."
ei:hasSeries,property,(scope § modules),"Inverse of ei:publishedInDataset. Domain: dcat:Dataset. Range: Series."

# ===== Datatype properties (local) =====
ei:assertedValue,property,"CQ-008","Domain: CMC. Range: rdfs:Datatype = (xsd:decimal ∪ xsd:string). 0..1."
ei:assertedUnit,property,"CQ-008","Domain: CMC. Range: xsd:string (surface token like 'GW', 'TWh') in V0. Canonical qudt:Unit linkage deferred to later phase."
ei:assertedTime,property,"CQ-008","Domain: CMC. Range: ei:ClaimTemporalWindow. Cardinality: 0..1."
ei:intervalStart,property,(ClaimTemporalWindow),"Domain: ClaimTemporalWindow. Range: xsd:date | xsd:dateTime. Cardinality: 0..1."
ei:intervalEnd,property,(ClaimTemporalWindow),"Domain: ClaimTemporalWindow. Range: xsd:date | xsd:dateTime. Cardinality: 0..1."
ei:rawLabel,property,"(scope § modules)","Domain: CMC. Range: xsd:string. Surface text (chart title, post-text fragment, screenshot caption)."
ei:rawDims,property,"(scope § modules)","Domain: CMC. Range: xsd:string (JSON literal encoding key-value dims). Cardinality: 0..1."

# ===== Annotation properties =====
prov:wasGeneratedBy,property,(extraction annotation),"Applied as an annotation property to CMC recording the extraction activity IRI. Full prov:Activity individuals deferred to ABox phase."
skos:altLabel,property,(reuse),"Used on CanonicalMeasurementClaim (""Candidate"") and Variable (""CanonicalMeasurementSeries"") for cross-codebase naming continuity."
skos:exactMatch,property,(reuse),"For alias relations per Linear D4 (plus closeMatch, broadMatch, narrowMatch). 'methodologyVariant' extension deferred."

# ===== Individuals =====
# V0 intentionally carries no enum individuals. Earlier drafts carried
# ei:StatisticType / ei:Aggregation / ei:SourceModality / ei:ResolutionState
# closed enums; all were dropped per the 2026-04-22 interview:
#   - Seven-facet Variable model (and its enum facets) deferred to V1.
#   - Resolution state is derivable from which ei:references* are populated.
#   - Source modality is derivable from the ei:evidences range member.
#
# Individual-shape seed data (e.g., specific OEO technology IRIs) will be
# surfaced by ontology-scout during OEO MIREOT extraction.
